objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"13 Dead End Drive","1899","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73956236","5.73081","6.04444","1.384","4830","4933","thing","13 Dead End Drive","2","4","45","45","45","1993","2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","20","USD","2019-12-25","Casey's Parents","","","","","","","",""
"5 Second Rule","86073","7","","0","1","0","0","0","0","0","0","0","3","","","","","","73956265","5.43363","5.48243","1.1094","23077","4660","thing","5 Second Rule","3","6","30","30","30","2010","3,4,5,6","4,5,6","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","1","USD","15","USD","","","","","","","","","",""
"7 Wonders","68448","7","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936505","7.60834","7.71224","2.3227","83","128662","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","50","USD","50","USD","","","","","","","","","",""
"7 Wonders Duel","173346","9","1","0","1","0","0","0","0","0","0","0","3","","","","","","73936506","7.97636","8.09969","2.2238","19","127479","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel: Agora","309116","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","87960847","7.04623","8.12605","2.9194","0","12247","thing","7 Wonders Duel: Agora","2","2","30","30","30","2020","2","2","12+","No necessary in-game text","","","","","","expansion","","12.5","USD","25","USD","2021-11-26","The Adventure Begins","1","","","","","","",""
"7 Wonders Duel: Pantheon","202976","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936511","7.62966","8.01288","2.315","0","36662","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Architects","346703","7.5","2","0","1","0","0","0","0","0","0","0","3","","","","","","87577662","6.645","7.05463","1.3467","882","7882","thing","7 Wonders: Architects","2","7","25","25","25","2021","2,3,4,5,6,7","4","6+","No necessary in-game text","","","","","","standalone","","40","USD","60","USD","2021-11-13","Space Cadets","1","","","","","","",""
"7 Wonders: Armada","247315","8","","0","1","0","0","0","0","0","0","0","3","","","","","","73936515","6.83462","8.01377","2.7907","0","8372","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Babel","154638","5","","0","1","0","0","0","0","0","0","0","3","","","","","","73936513","6.45346","6.92537","2.6457","0","14077","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of Civilization","264647","7","3","0","1","0","0","0","0","0","0","0","3","","","","","","88730610","6.25111","7.09355","2.2857","1716","4300","thing","Age of Civilization","1","4","60","60","30","2019","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","13","USD","30","USD","","Amazon","1","","","","","","",""
